,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
57,17,2,0,0,7,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
58,18,2,0,0,8,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
59,19,2,0,0,6,-32.0,0.1,0.0,0.0,0.9,1.0,-3.0,1.0,1.0,0.0,0.0,0.0
60,0,3,0,1,46,-4.0,0.8,0.708,0.0,0.2,0.292,-3.0,1.0,1.0,0.0,0.0,0.0
61,1,3,0,1,30,-4.0,0.8,0.786,0.0,0.2,0.214,-3.0,1.0,1.0,0.0,0.0,0.0
62,2,3,0,1,36,-4.0,0.8,0.762,0.0,0.2,0.238,-3.0,1.0,1.0,0.0,0.0,0.0
63,3,3,0,1,55,-4.0,0.8,0.7,0.0,0.2,0.3,-3.0,1.0,1.0,0.0,0.0,0.0
64,4,3,0,1,22,-4.0,0.8,0.889,0.0,0.2,0.111,-3.0,1.0,1.0,0.0,0.0,0.0
65,5,3,0,1,23,-4.0,0.8,0.846,0.0,0.2,0.154,-3.0,1.0,1.0,0.0,0.0,0.0
66,6,3,0,1,23,-4.0,0.8,0.875,0.0,0.2,0.125,-3.0,1.0,1.0,0.0,0.0,0.0
67,7,3,0,1,23,-4.0,0.8,0.857,0.0,0.2,0.143,-3.0,1.0,1.0,0.0,0.0,0.0
68,8,3,0,1,35,-4.0,0.8,0.75,0.0,0.2,0.25,-3.0,1.0,1.0,0.0,0.0,0.0
69,9,3,0,1,32,-4.0,0.8,0.769,0.0,0.2,0.231,-3.0,1.0,1.0,0.0,0.0,0.0
70,10,3,0,1,27,-4.0,0.8,0.818,0.0,0.2,0.182,-3.0,1.0,1.0,0.0,0.0,0.0
71,11,3,0,1,23,-4.0,0.8,0.846,0.0,0.2,0.154,-3.0,1.0,1.0,0.0,0.0,0.0
72,12,3,0,1,17,-4.0,0.8,1.0,0.0,0.2,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
73,13,3,0,1,53,-4.0,0.8,0.7,0.0,0.2,0.3,-3.0,1.0,1.0,0.0,0.0,0.0
74,14,3,0,1,49,-4.0,0.8,0.696,0.0,0.2,0.304,-3.0,1.0,1.0,0.0,0.0,0.0
75,15,3,0,1,20,-4.0,0.8,0.909,0.0,0.2,0.091,-3.0,1.0,1.0,0.0,0.0,0.0
76,16,3,0,1,17,-4.0,0.8,1.0,0.0,0.2,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
77,17,3,0,1,35,-4.0,0.8,0.75,0.0,0.2,0.25,-3.0,1.0,1.0,0.0,0.0,0.0
78,18,3,0,1,28,-4.0,0.8,0.8,0.0,0.2,0.2,-3.0,1.0,1.0,0.0,0.0,0.0
79,19,3,0,1,15,-4.0,0.8,1.0,0.0,0.2,0.0,-3.0,1.0,1.0,0.0,0.0,0.0
80,0,4,0,0,7,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
81,1,4,0,0,13,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.2,0.0,0.9,0.8
82,2,4,0,0,12,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.125,0.0,0.9,0.875
83,3,4,0,0,8,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
84,4,4,0,0,12,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.143,0.0,0.9,0.857
85,5,4,0,0,8,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
86,6,4,0,0,7,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
87,7,4,0,1,9,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.5,0.0,0.9,0.5
88,8,4,0,0,8,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
89,9,4,0,0,7,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
90,10,4,0,0,11,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.111,0.0,0.9,0.889
91,11,4,0,0,12,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.167,0.0,0.9,0.833
92,12,4,0,1,4,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,1.0,0.0,0.9,0.0
93,13,4,0,0,6,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
94,14,4,0,0,6,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
95,15,4,0,0,7,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
96,16,4,0,0,7,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
97,17,4,0,0,12,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.125,0.0,0.9,0.875
98,18,4,0,0,8,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.0,0.0,0.9,1.0
99,19,4,0,0,14,3.0,1.0,1.0,0.0,0.0,0.0,32.0,0.1,0.2,0.0,0.9,0.8
100,0,5,0,0,23,3.0,0.25,0.308,0.0,0.75,0.692,32.0,0.025,0.0,0.0,0.975,1.0
101,1,5,0,0,46,3.0,0.25,0.13,0.0,0.75,0.87,32.0,0.025,0.087,0.0,0.975,0.913
102,2,5,0,0,30,3.0,0.25,0.167,0.0,0.75,0.833,32.0,0.025,0.0,0.0,0.975,1.0
103,3,5,0,0,21,3.0,0.25,0.417,0.0,0.75,0.583,32.0,0.025,0.0,0.0,0.975,1.0
104,4,5,0,0,37,3.0,0.25,0.111,0.0,0.75,0.889,32.0,0.025,0.0,0.0,0.975,1.0
105,5,5,0,0,41,3.0,0.25,0.182,0.0,0.75,0.818,32.0,0.025,0.105,0.0,0.975,0.895
106,6,5,0,0,37,3.0,0.25,0.067,0.0,0.75,0.933,32.0,0.025,0.0,0.0,0.975,1.0
107,7,5,0,0,50,3.0,0.25,0.125,0.0,0.75,0.875,32.0,0.025,0.077,0.0,0.975,0.923
108,8,5,0,0,32,3.0,0.25,0.167,0.0,0.75,0.833,32.0,0.025,0.0,0.0,0.975,1.0
109,9,5,0,0,32,3.0,0.25,0.188,0.0,0.75,0.812,32.0,0.025,0.0,0.0,0.975,1.0
110,10,5,0,0,19,3.0,0.25,0.385,0.0,0.75,0.615,32.0,0.025,0.0,0.0,0.975,1.0
111,11,5,0,0,30,3.0,0.25,0.167,0.0,0.75,0.833,32.0,0.025,0.0,0.0,0.975,1.0
112,12,5,0,0,54,3.0,0.25,0.077,0.0,0.75,0.923,32.0,0.025,0.071,0.0,0.975,0.929
113,13,5,0,0,21,3.0,0.25,0.364,0.0,0.75,0.636,32.0,0.025,0.0,0.0,0.975,1.0
114,14,5,0,0,37,3.0,0.25,0.211,0.0,0.75,0.789,32.0,0.025,0.056,0.0,0.975,0.944
115,15,5,0,0,23,3.0,0.25,0.417,0.0,0.75,0.583,32.0,0.025,0.091,0.0,0.975,0.909
116,16,5,0,0,39,3.0,0.25,0.1,0.0,0.75,0.9,32.0,0.025,0.0,0.0,0.975,1.0
117,17,5,0,0,27,3.0,0.25,0.231,0.0,0.75,0.769,32.0,0.025,0.0,0.0,0.975,1.0
118,18,5,0,0,28,3.0,0.25,0.214,0.0,0.75,0.786,32.0,0.025,0.0,0.0,0.975,1.0
119,19,5,0,0,18,3.0,0.25,0.5,0.0,0.75,0.5,32.0,0.025,0.0,0.0,0.975,1.0
