,subject,problem,group,choice,samplesize,Lx0,Lp0,Lf0,Lx1,Lp1,Lf1,Hx0,Hp0,Hf0,Hx1,Hp1,Hf1
0,0,0,0,1,4,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
1,1,0,0,1,14,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
2,2,0,0,1,6,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
3,3,0,0,1,8,12.6,0.63,0.6,0.2,0.37,0.4,27.3,0.06,0.0,10.4,0.94,1.0
4,4,0,0,1,5,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
5,5,0,0,1,4,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.5,10.4,0.94,0.5
6,6,0,0,1,4,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
7,7,0,0,1,3,12.6,0.63,0.0,0.2,0.37,1.0,27.3,0.06,0.0,10.4,0.94,1.0
8,8,0,0,1,13,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.143,10.4,0.94,0.857
9,9,0,0,1,7,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.25,10.4,0.94,0.75
10,10,0,0,1,8,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
11,11,0,0,1,14,12.6,0.63,0.714,0.2,0.37,0.286,27.3,0.06,0.0,10.4,0.94,1.0
12,12,0,0,1,10,12.6,0.63,0.667,0.2,0.37,0.333,27.3,0.06,0.0,10.4,0.94,1.0
13,13,0,0,1,4,12.6,0.63,0.333,0.2,0.37,0.667,27.3,0.06,0.0,10.4,0.94,1.0
14,14,0,0,0,8,12.6,0.63,1.0,0.2,0.37,0.0,27.3,0.06,0.0,10.4,0.94,1.0
15,15,0,0,1,6,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.0,10.4,0.94,1.0
16,16,0,0,1,16,12.6,0.63,0.625,0.2,0.37,0.375,27.3,0.06,0.125,10.4,0.94,0.875
17,17,0,0,1,8,12.6,0.63,0.5,0.2,0.37,0.5,27.3,0.06,0.25,10.4,0.94,0.75
18,18,0,0,0,12,12.6,0.63,0.889,0.2,0.37,0.111,27.3,0.06,0.333,10.4,0.94,0.667
